SmallSeatsPercentage,PoissonParam,CenterName,Priority,AvgQueueTime,ConfInterval
0.0,1.0,Skull_Island,NORMAL,36.484865032298025,1.892116252337554
0.017,1.5,Skull_Island,SMALL,87.8712492460505,7.340729114705975
0.017,1.5,Storm_Force,PRIORITY,2.0742823337689833,0.03746238862622855
0.017,1.5,Flight_Hippogriff,SMALL,3.623570189457338,0.2933797156253987
0.017,1.5,Incredible_Hulk_Coaster,PRIORITY,2.0961122475780343,0.10956216301678305
0.017,1.5,Jurassic_World_VelociCoaster,NORMAL,62.082062870056085,1.0612366932996793
0.017,1.5,Storm_Force,SMALL,30.073947347671442,5.539891542398147
0.017,1.5,Incredible_Hulk_Coaster,NORMAL,34.4423908065983,2.7534489676000096
0.017,1.5,Doctor_Doom_Fearfall,PRIORITY,1.2950215356050117,0.03974296743734671
0.017,1.5,Harry_Potter_Journey,PRIORITY,2.1814017216864263,0.03388220432848661
0.017,1.5,Skull_Island,PRIORITY,3.4492560201241282,0.11016430160104491
0.017,1.5,Harry_Potter_Journey,NORMAL,45.653145955946115,1.0396653995412033
0.017,1.5,Doctor_Doom_Fearfall,NORMAL,8.123019123613293,0.7940469947883421
0.017,1.5,Storm_Force,NORMAL,5.869305415344959,0.49735647270577626
0.017,1.5,Doctor_Doom_Fearfall,SMALL,18.16515476793187,3.26202924169429
0.017,1.5,Jurassic_World_VelociCoaster,PRIORITY,1.7746594413892487,0.08859740090144153
0.017,1.5,Jurassic_World_VelociCoaster,SMALL,197.1336433678583,3.5436587828617454
0.017,1.5,Flight_Hippogriff,NORMAL,26.44435322601151,3.2654051970368005
0.017,1.5,Harry_Potter_Journey,SMALL,188.06463458019206,2.96667835738396
0.017,1.5,Flight_Hippogriff,PRIORITY,1.8017063885850215,0.08696810073332406
0.017,1.5,Incredible_Hulk_Coaster,SMALL,49.19077048883323,8.042458269893979
0.017,1.5,Skull_Island,NORMAL,46.35392812940485,2.0894688219735076
0.0,1.5,Skull_Island,SMALL,171.73534695293046,8.961643518939294
0.0,1.5,Storm_Force,PRIORITY,2.0911200544528454,0.0422732410263008
0.0,1.5,Flight_Hippogriff,SMALL,2.767617342882924,0.1650890208178886
0.0,1.5,Incredible_Hulk_Coaster,PRIORITY,2.029349795767185,0.08467729879315372
0.0,1.5,Jurassic_World_VelociCoaster,NORMAL,60.918190616281365,1.1501676609327363
0.0,1.5,Storm_Force,SMALL,28.32211588461289,5.43031430795827
0.0,1.5,Incredible_Hulk_Coaster,NORMAL,35.90225455237218,2.1251755614462833
0.0,1.5,Doctor_Doom_Fearfall,PRIORITY,1.2719243164885,0.04507625189415429
0.0,1.5,Harry_Potter_Journey,PRIORITY,2.1774214193463526,0.030097484782426007
0.0,1.5,Skull_Island,PRIORITY,3.401307696922802,0.1070449167383765
