Center name,E[Nq],m*Rho,Rho,E[Ns],E[Tq],E[S],E[Ts],NormalEnqueued,PriorityEnqueued,TotalEnqueued,TotalServed,E[Tq] Normal,E[Tq] Priority
Jurassic_World_VelociCoaster,2.5902509769759638E-306,1.0586355110123196E-306,1.102745323971166E-308,3.6488864879882835E-306,0.11961151808066006,2.0245763728386237,2.1441878909192837,3881,12,3893,94,0.11961151808066006,0.11961151808066006
Incredible_Hulk_Coaster,2.960857140391225E-307,8.013535244523471E-308,2.504229763913585E-309,3.7622106648435724E-307,0.11961151808066006,0.514495617680609,0.6341071357612691,439,6,445,28,0.11961151808066006,0.11961151808066006
Restaurant_4,0.0,2.8699772880336704E-306,2.8699772880336703E-308,2.8699772880336704E-306,NaN,2.9314423113118724,NaN,0,0,0,176,0.0,0.0
Doctor_Doom_Fearfall,1.3639903680453958E-307,2.3754243495210607E-307,7.423201092253313E-309,3.739414717566457E-307,0.11961151808066006,1.4234280151729308,1.543039533253591,205,0,205,30,0.11961151808066006,0.0
Restaurant_3,0.0,1.8692548666613258E-306,1.869254866661326E-308,1.8692548666613258E-306,NaN,2.0871718267733157,NaN,0,0,0,161,0.0,0.0
Flight_Hippogriff,1.769860672683294E-307,4.700705646933253E-308,3.35764689066661E-309,2.2399312373766195E-307,0.11961151808066006,0.6500327900384946,0.7696443081191546,266,0,266,13,0.11961151808066006,0.0
Restaurant_2,0.0,3.8869001728667045E-306,3.8869001728667047E-308,3.8869001728667045E-306,NaN,3.4085140276378647,NaN,0,0,0,205,0.0,0.0
Restaurant_1,0.0,2.4757730940382488E-306,2.475773094038249E-308,2.4757730940382488E-306,NaN,2.3301991071358086,NaN,0,0,0,191,0.0,0.0
Skull_Island,1.1237782170288052E-307,6.94502134182401E-307,1.0522759608824257E-308,8.068799558852816E-307,0.02140051256208153,1.8916692708589835,1.913069783421065,939,5,944,66,0.02140051256208153,0.02140051256208153
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,5.11890501400833E-309,9.685152838834562E-308,1.61419213980576E-309,1.0197043340235395E-307,0.02140051256208153,0.829092036593579,0.8504925491556605,37,6,43,21,0.02140051256208153,0.02140051256208153
Harry_Potter_Journey,1.277345367449055E-307,5.1059737135704365E-306,2.7159434646651257E-308,5.233708250315342E-306,0.02140051256208153,4.908542188060437,4.929942700622519,1073,0,1073,187,0.02140051256208153,0.0
Jurassic_World_VelociCoaster,4.179645466089126E-307,6.56226508160435E-307,6.835692793337864E-309,1.0741910547693476E-306,0.02140051256208153,1.2288478006611285,1.25024831322321,3511,0,3511,96,0.02140051256208153,0.0
Incredible_Hulk_Coaster,6.726003099801641E-308,2.429476277645486E-307,7.592113367642143E-309,3.10207658762565E-307,0.02140051256208153,1.6175751206052382,1.6389756331673198,565,0,565,27,0.02140051256208153,0.0
Restaurant_4,0.0,3.075373333712242E-306,3.0753733337122424E-308,3.075373333712242E-306,NaN,3.1591871595160748,NaN,0,0,0,175,0.0,0.0
Doctor_Doom_Fearfall,1.547575934467634E-308,2.8345418372473824E-307,8.85794324139807E-309,2.9892994306941458E-307,0.02140051256208153,1.5923863754061358,1.6137868879682173,130,0,130,32,0.02140051256208153,0.0
Restaurant_3,0.0,3.120223283917957E-306,3.120223283917957E-308,3.120223283917957E-306,NaN,3.5727413864565993,NaN,0,0,0,157,0.0,0.0
Flight_Hippogriff,4.4046391981001896E-308,1.1126060641239328E-307,7.947186172313805E-309,1.5530699839339517E-307,0.02140051256208153,1.666770236068146,1.6881707486302275,370,0,370,12,0.02140051256208153,0.0
Restaurant_2,0.0,2.8029833908452924E-306,2.8029833908452923E-308,2.8029833908452924E-306,NaN,2.846838417432586,NaN,0,0,0,177,0.0,0.0
Restaurant_1,0.0,2.4757730940382488E-306,2.475773094038249E-308,2.4757730940382488E-306,NaN,2.3301991071358086,NaN,0,0,0,191,0.0,0.0
Skull_Island,1.1237782170288052E-307,6.94502134182401E-307,1.0522759608824257E-308,8.068799558852816E-307,0.02140051256208153,1.8916692708589835,1.913069783421065,939,5,944,66,0.02140051256208153,0.02140051256208153
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,5.11890501400833E-309,9.685152838834562E-308,1.61419213980576E-309,1.0197043340235395E-307,0.02140051256208153,0.829092036593579,0.8504925491556605,37,6,43,21,0.02140051256208153,0.02140051256208153
Harry_Potter_Journey,1.277345367449055E-307,5.1059737135704365E-306,2.7159434646651257E-308,5.233708250315342E-306,0.02140051256208153,4.908542188060437,4.929942700622519,1073,0,1073,187,0.02140051256208153,0.0
Jurassic_World_VelociCoaster,4.179645466089126E-307,6.56226508160435E-307,6.835692793337864E-309,1.0741910547693476E-306,0.02140051256208153,1.2288478006611285,1.25024831322321,3511,0,3511,96,0.02140051256208153,0.0
Incredible_Hulk_Coaster,6.726003099801641E-308,2.429476277645486E-307,7.592113367642143E-309,3.10207658762565E-307,0.02140051256208153,1.6175751206052382,1.6389756331673198,565,0,565,27,0.02140051256208153,0.0
Restaurant_4,0.0,3.075373333712242E-306,3.0753733337122424E-308,3.075373333712242E-306,NaN,3.1591871595160748,NaN,0,0,0,175,0.0,0.0
Doctor_Doom_Fearfall,1.547575934467634E-308,2.8345418372473824E-307,8.85794324139807E-309,2.9892994306941458E-307,0.02140051256208153,1.5923863754061358,1.6137868879682173,130,0,130,32,0.02140051256208153,0.0
Restaurant_3,0.0,3.120223283917957E-306,3.120223283917957E-308,3.120223283917957E-306,NaN,3.5727413864565993,NaN,0,0,0,157,0.0,0.0
Flight_Hippogriff,4.4046391981001896E-308,1.1126060641239328E-307,7.947186172313805E-309,1.5530699839339517E-307,0.02140051256208153,1.666770236068146,1.6881707486302275,370,0,370,12,0.02140051256208153,0.0
Restaurant_2,0.0,2.8029833908452924E-306,2.8029833908452923E-308,2.8029833908452924E-306,NaN,2.846838417432586,NaN,0,0,0,177,0.0,0.0
