GroupId,GroupSize,Priority,QueueTime,RidingTime,TotalTime,NumberRides
10606,7,PRIORITY,0.0,0.0,2629.355007413796,0
10633,2,PRIORITY,0.0,0.0,2629.424301221668,0
10640,9,PRIORITY,0.0,0.0,2629.5275087093737,0
10639,7,NORMAL,0.0,0.0,2629.750077433537,0
10638,1,NORMAL,0.0,0.0,2630.410398313466,0
10645,3,NORMAL,0.0,0.0,2630.4569467829187,0
10634,4,NORMAL,0.0,0.0,2630.5858697240647,0
10644,2,NORMAL,0.0,0.0,2631.0652745753955,0
10598,8,PRIORITY,0.0,0.0,2631.1262500537796,0
10648,2,PRIORITY,0.0,0.0,2631.324908650732,0
10624,3,NORMAL,0.0,0.0,2631.614600496131,0
10647,3,NORMAL,0.0,0.0,2631.7744872753806,0
10637,8,PRIORITY,0.0,0.0,2632.3116473993136,0
10653,2,NORMAL,0.0,0.0,2632.9202223180678,0
10635,9,NORMAL,0.0,0.0,2633.139206356427,0
10652,7,PRIORITY,0.0,0.0,2633.179842972014,0
10641,6,NORMAL,0.0,0.0,2633.5410369580636,0
10654,2,NORMAL,0.0,0.0,2633.6262412038923,0
10657,2,NORMAL,0.0,0.0,2633.655747920254,0
10643,4,PRIORITY,0.0,0.0,2633.8047105092282,0
10655,9,NORMAL,0.0,0.0,2634.0005128542894,0
10660,9,NORMAL,0.0,0.0,2634.0478627755747,0
10661,4,PRIORITY,0.0,0.0,2634.1078283736024,0
10658,2,NORMAL,0.0,0.0,2634.182414833156,0
10664,2,NORMAL,0.0,0.0,2634.219730772106,0
10665,1,NORMAL,0.0,0.0,2634.263422455184,0
10651,5,NORMAL,0.0,0.0,2634.2671579150574,0
10666,7,NORMAL,0.0,0.0,2634.407042907518,0
10659,3,PRIORITY,0.0,0.0,2634.5836218452782,0
10667,1,PRIORITY,0.0,0.0,2634.840877605811,0
10668,3,NORMAL,0.0,0.0,2635.273840606631,0
10669,6,NORMAL,0.0,0.0,2636.044794269046,0
10671,9,NORMAL,0.0,0.0,2637.056622957619,0
10673,9,NORMAL,0.0,0.0,2637.3149065797297,0
10662,4,NORMAL,0.0,0.0,2637.8455895817547,0
10674,2,PRIORITY,0.0,0.0,2638.1559662236064,0
10656,7,NORMAL,0.0,0.0,2638.1675517206863,0
10649,5,PRIORITY,0.0,0.0,2638.4652767135362,0
10677,2,NORMAL,0.0,0.0,2639.276030896441,0
10646,6,NORMAL,0.0,0.0,2639.879606051162,0
10676,4,NORMAL,0.0,0.0,2639.926749003874,0
10679,4,NORMAL,0.0,0.0,2640.1668129678797,0
10650,8,PRIORITY,0.0,0.0,2640.254289636251,0
10642,7,NORMAL,0.0,0.0,2640.382925280938,0
10682,2,NORMAL,0.0,0.0,2640.4776332546066,0
10684,2,NORMAL,0.0,0.0,2641.1187855925177,0
10670,9,NORMAL,0.0,0.0,2641.387497411018,0
10685,2,PRIORITY,0.0,0.0,2641.669603029865,0
10686,1,NORMAL,0.0,0.0,2642.0141719480166,0
10678,8,PRIORITY,0.0,0.0,2642.636068759237,0
10690,9,NORMAL,0.0,0.0,2642.7675342383686,0
10675,3,NORMAL,0.0,0.0,2643.1903590101524,0
10688,2,PRIORITY,0.0,0.0,2643.8177489628415,0
10692,2,PRIORITY,0.0,0.0,2643.8978010784886,0
10663,6,NORMAL,0.0,0.0,2643.956744412622,0
10693,6,NORMAL,0.0,0.0,2644.0033822513324,0
10681,9,NORMAL,0.0,0.0,2644.296420070992,0
10691,2,NORMAL,0.0,0.0,2644.4566868362094,0
10698,4,PRIORITY,0.0,0.0,2644.536841391074,0
10687,3,PRIORITY,0.0,0.0,2644.7090959611633,0
10700,1,NORMAL,0.0,0.0,2644.7440767388466,0
10683,6,NORMAL,0.0,0.0,2645.2630996980884,0
10694,6,PRIORITY,0.0,0.0,2645.269864079506,0
10701,1,NORMAL,0.0,0.0,2645.325789851443,0
10697,9,NORMAL,0.0,0.0,2645.4924255224746,0
10705,5,NORMAL,0.0,0.0,2645.7494705189765,0
10699,8,NORMAL,0.0,0.0,2646.060932057082,0
10706,1,PRIORITY,0.0,0.0,2646.0986558391796,0
10696,2,PRIORITY,0.0,0.0,2646.4041314883234,0
10707,3,NORMAL,0.0,0.0,2646.4767867840164,0
10703,3,NORMAL,0.0,0.0,2646.6447743410786,0
10689,7,NORMAL,0.0,0.0,2646.9871147352533,0
10708,2,PRIORITY,0.0,0.0,2647.0245012641885,0
10702,6,PRIORITY,0.0,0.0,2647.1478926399077,0
10709,8,NORMAL,0.0,0.0,2647.3332948580037,0
10714,2,NORMAL,0.0,0.0,2647.3399282488854,0
10672,8,PRIORITY,0.0,0.0,2647.385440299856,0
10715,9,PRIORITY,0.0,0.0,2647.473749364638,0
